,AT,AU,BD,BE,BG,BR,BT,CA,CH,CN,CY,CZ,DE,DK,EE,ES,ET,FI,FR,GB,GR,HR,HU,ID,IE,IL,IN,IR,IS,IT,JP,KR,LT,LV,ME,MK,MT,MX,MY,NG,NL,NO,NZ,PL,PT,RS,RU,SA,SE,SG,SI,SK,TR,TW,UA,US
IR,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
IS,7.0,4.0,0.0,5.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,26.0,204.0,7.0,4.0,0.0,108.0,10.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,39.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,96.0,0.0,3.0,3.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
IT,24.0,38.0,3.0,65.0,16.0,0.0,3.0,39.0,79.0,3.0,2.0,23.0,334.0,87.0,11.0,45.0,3.0,267.0,127.0,178.0,2.0,11.0,8.0,3.0,17.0,0.0,42.0,3.0,39.0,0.0,3.0,7.0,8.0,9.0,8.0,4.0,3.0,0.0,36.0,3.0,211.0,90.0,3.0,62.0,8.0,17.0,0.0,0.0,145.0,2.0,3.0,8.0,0.0,1.0,19.0,416.0
JP,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,3.0,0.0,17.0
KR,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,18.0,5.0,0.0,0.0,2.0,3.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,11.0
LT,8.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,17.0,10.0,6.0,0.0,11.0,10.0,8.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,20.0,13.0,0.0,8.0,2.0,8.0,0.0,0.0,11.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0
LV,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,9.0,4.0,6.0,0.0,5.0,8.0,8.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,19.0,10.0,0.0,9.0,0.0,8.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,0.0,8.0,0.0
ME,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,8.0,4.0,6.0,0.0,4.0,8.0,8.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0
MK,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,2.0,4.0,0.0,2.0,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0
MT,1.0,14.0,0.0,2.0,0.0,2.0,0.0,12.0,1.0,2.0,0.0,1.0,2.0,7.0,0.0,3.0,0.0,3.0,4.0,20.0,0.0,1.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,3.0,10.0,2.0,3.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0
MX,0.0,42.0,0.0,0.0,0.0,6.0,0.0,36.0,0.0,6.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,6.0,0.0,42.0,0.0,0.0,0.0,0.0,12.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,6.0,30.0,0.0,6.0,6.0,0.0,0.0,30.0,0.0,0.0,0.0,6.0,0.0,0.0,12.0
MY,0.0,17.0,0.0,3.0,0.0,2.0,0.0,15.0,6.0,2.0,0.0,0.0,18.0,9.0,0.0,0.0,0.0,20.0,6.0,20.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,0.0,3.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,12.0,5.0,10.0,3.0,2.0,2.0,0.0,0.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,37.0
NG,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
NL,44.0,16.0,1.0,65.0,36.0,0.0,1.0,18.0,35.0,3.0,1.0,45.0,256.0,88.0,21.0,51.0,1.0,126.0,90.0,114.0,1.0,19.0,18.0,1.0,14.0,0.0,15.0,1.0,15.0,211.0,0.0,2.0,20.0,19.0,18.0,8.0,1.0,0.0,12.0,1.0,0.0,80.0,2.0,57.0,3.0,39.0,0.0,1.0,81.0,0.0,2.0,18.0,0.0,0.0,37.0,147.0
NO,25.0,25.0,2.0,68.0,16.0,2.0,2.0,19.0,15.0,9.0,3.0,21.0,160.0,518.0,19.0,43.0,2.0,344.0,54.0,181.0,5.0,9.0,8.0,2.0,23.0,2.0,10.0,2.0,96.0,90.0,4.0,5.0,13.0,10.0,8.0,4.0,3.0,6.0,5.0,2.0,80.0,0.0,13.0,38.0,12.0,19.0,108.0,1.0,352.0,5.0,8.0,8.0,2.0,1.0,17.0,62.0
NZ,0.0,71.0,1.0,0.0,0.0,10.0,1.0,60.0,1.0,13.0,0.0,0.0,9.0,39.0,0.0,0.0,1.0,13.0,0.0,70.0,0.0,0.0,0.0,1.0,20.0,10.0,13.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,30.0,10.0,1.0,2.0,13.0,0.0,2.0,10.0,10.0,0.0,1.0,52.0,0.0,0.0,0.0,10.0,0.0,0.0,23.0
